Customer ID,Customer Name,City,State,Region
CUST-1001,Timberline Wholesale Inc,Boise,ID,Northeast
CUST-1002,Blue Ridge Logistics,Charlotte,NC,West
CUST-1003,Frontier Consumer Supply,Albuquerque,NM,Northeast
CUST-1004,Ironwood Distribution Inc,Indianapolis,IN,Midwest
CUST-1005,Midwest Supply Chain Inc,Chicago,IL,Southeast
CUST-1006,Silverline Consumer Brands,Denver,CO,Northeast
CUST-1007,Pinnacle Distribution Corp,Atlanta,GA,Midwest
CUST-1008,Lakeshore Packaging Solutions,Milwaukee,WI,Southeast
CUST-1009,Union Pacific Warehousing,Omaha,NE,Northeast
CUST-1010,Crescent Manufacturing Group,New Orleans,LA,West
CUST-1011,Horizon Consumer Goods,Phoenix,AZ,West
CUST-1012,Highland Retail Partners,Salt Lake City,UT,Midwest
CUST-1013,Summit Manufacturing LLC,Pittsburgh,PA,West
CUST-1014,Sunbelt Distribution LLC,Tampa,FL,Southwest
CUST-1015,Coastal Retail Holdings,Charleston,SC,West
CUST-1016,Granite State Packaging,Manchester,NH,Midwest
CUST-1017,Redwood Retail Group,Sacramento,CA,Southeast
CUST-1018,Heartland Shipping Co,Des Moines,IA,Midwest
CUST-1019,Bluegrass Wholesale Co,Louisville,KY,Southwest
CUST-1020,Vanguard Retail Supply,Minneapolis,MN,Northeast
CUST-1021,Metro Fulfillment Services,Newark,NJ,Midwest
CUST-1022,Cornerstone Supply Co,Richmond,VA,Southeast
CUST-1023,Cascade Industrial Supply,Portland,OR,Midwest
CUST-1024,Meridian Logistics Group,Columbus,OH,Midwest
CUST-1025,Prairie State Logistics,Kansas City,MO,Southwest
CUST-1026,Atlantic Coast Distributors,Norfolk,VA,Northeast
CUST-1027,Great Lakes Packaging Co,Cleveland,OH,Midwest
CUST-1028,National Fulfillment Partners,Memphis,TN,West
CUST-1029,Continental Freight Solutions,Dallas,TX,Midwest
CUST-1030,Riverside Packaging Corp,Cincinnati,OH,Midwest
