Order ID,Order Date,Customer Name,City,State,Sales Rep,Region,Box Type,Unit Price,Quantity,Extended Price,Payment Terms,Order Status
100001,07/23/2025,Timberline Wholesale Inc,Boise,ID,Nicole Fenwick,Northeast,Medium Box,$8.00,"1,075","$8,600.00",Net 45,Invoiced
100002,05/13/2026,Blue Ridge Logistics,Charlotte,NC,David Kim,West,Large Box,$12.00,"1,725","$20,700.00",Net 30,Invoiced
100003,11/26/2025,Frontier Consumer Supply,Albuquerque,NM,Tom Sullivan,Northeast,Medium Box,$8.00,"1,275","$10,200.00",Net 30,Invoiced
100004,09/22/2025,Ironwood Distribution Inc,Indianapolis,IN,Tom Sullivan,Midwest,Small Box,$6.00,"1,950","$11,700.00",Net 45,Shipped
100005,05/22/2026,Midwest Supply Chain Inc,Chicago,IL,Tom Sullivan,Southeast,Medium Box,$8.00,"1,400","$11,200.00",Net 30,Processing
100006,06/18/2026,Silverline Consumer Brands,Denver,CO,David Kim,Northeast,Large Box,$12.00,"1,850","$22,200.00",Net 30,Delivered
100007,11/15/2025,Pinnacle Distribution Corp,Atlanta,GA,Brian Castillo,Midwest,Large Box,$12.00,"1,675","$20,100.00",Net 30,Pending
100008,05/26/2026,Lakeshore Packaging Solutions,Milwaukee,WI,Angela Brooks,Southeast,Large Box,$12.00,"1,750","$21,000.00",Net 45,Delivered
100009,04/26/2026,Lakeshore Packaging Solutions,Milwaukee,WI,Brian Castillo,Southwest,Medium Box,$8.00,"1,225","$9,800.00",Due on Receipt,Shipped
100010,03/10/2026,Union Pacific Warehousing,Omaha,NE,Karen Whitfield,Northeast,Large Box,$12.00,"1,650","$19,800.00",Net 30,Invoiced
100011,05/02/2026,Pinnacle Distribution Corp,Atlanta,GA,Rachel Ortiz,West,Medium Box,$8.00,"1,550","$12,400.00",Net 30,Invoiced
100012,07/06/2025,Crescent Manufacturing Group,New Orleans,LA,Marcus Doyle,West,Medium Box,$8.00,"1,775","$14,200.00",Net 45,Shipped
100013,02/08/2026,Midwest Supply Chain Inc,Chicago,IL,Karen Whitfield,Midwest,Small Box,$6.00,"1,775","$10,650.00",Net 30,Processing
100014,05/17/2026,Horizon Consumer Goods,Phoenix,AZ,Nicole Fenwick,West,Large Box,$12.00,"1,150","$13,800.00",Net 30,Shipped
100015,03/29/2026,Highland Retail Partners,Salt Lake City,UT,Brian Castillo,Midwest,Medium Box,$8.00,"1,025","$8,200.00",Net 30,Delivered
100016,12/05/2025,Summit Manufacturing LLC,Pittsburgh,PA,Tom Sullivan,West,Large Box,$12.00,"1,075","$12,900.00",Net 45,Invoiced
100017,03/30/2026,Sunbelt Distribution LLC,Tampa,FL,Priya Natarajan,Southwest,Small Box,$6.00,"1,175","$7,050.00",Net 30,Pending
100018,02/02/2026,Frontier Consumer Supply,Albuquerque,NM,Nicole Fenwick,Southeast,Small Box,$6.00,"1,325","$7,950.00",Net 30,Invoiced
100019,01/08/2026,Lakeshore Packaging Solutions,Milwaukee,WI,Nicole Fenwick,Southwest,Large Box,$12.00,"1,250","$15,000.00",Net 30,Delivered
100020,04/28/2026,Silverline Consumer Brands,Denver,CO,Brian Castillo,Southeast,Large Box,$12.00,"1,075","$12,900.00",Net 45,Shipped
100021,08/04/2025,Highland Retail Partners,Salt Lake City,UT,David Kim,Northeast,Small Box,$6.00,"1,250","$7,500.00",Net 30,Delivered
100022,04/03/2026,Coastal Retail Holdings,Charleston,SC,Brian Castillo,West,Medium Box,$8.00,"1,250","$10,000.00",Net 60,Invoiced
100023,10/06/2025,Union Pacific Warehousing,Omaha,NE,Rachel Ortiz,Midwest,Medium Box,$8.00,"1,425","$11,400.00",Net 30,Invoiced
100024,06/10/2026,Crescent Manufacturing Group,New Orleans,LA,Marcus Doyle,Northeast,Medium Box,$8.00,"1,750","$14,000.00",Net 30,Pending
